name;location
1 - Atheneskolen - skolen for børn med særlige forudsætninger at Gladsaxe (9,9);Atheneskolen - skolen for børn med særlige forudsætninger
2 - Vanløse Privatskole at København (9,8);Vanløse Privatskole
3 - Studsgård Friskole at Herning (9,7);Studsgård Friskole
4 - Herlev Privatskole at Herlev (9,4);Herlev Privatskole
5 - Rungsted Private Realskole at Hørsholm (9,4);Rungsted Private Realskole
6 - Sct. Mariæ Skole at Aalborg (9,3);Sct. Mariæ Skole
7 - Interskolen at Aarhus (9,3);Interskolen
8 - Regnbueskolen at Favrskov (9,3);Regnbueskolen
9 - Ida Holsts Skole at Svendborg (9,2);Ida Holsts Skole
10 - Kratholmskolen at Odense (9,1);Kratholmskolen
11 - Fænøsund Friskole at Middelfart (9,1);Fænøsund Friskole
12 - Dyhrs Skole at Slagelse (9,0);Dyhrs Skole
13 - Andreasskolen at Holbæk (9,0);Andreasskolen
14 - Ingrid Jespersens Gymnasieskole at København (9,0);Ingrid Jespersens Gymnasieskole
15 - Lyngby Private Skole at Lyngby-Taarbæk (8,9);Lyngby Private Skole
16 - Nørre Aaby Realskole at Middelfart (8,9);Nørre Aaby Realskole
17 - Lilleskolen Odense at Odense (8,9);Lilleskolen Odense
18 - Birkerød Privatskole at Rudersdal (8,9);Birkerød Privatskole
19 - Krebs’ Skole at København (8,9);Krebs’ Skole
20 - Køge Lille Skole at Køge (8,9);Køge Lille Skole
21 - Skanderborg Realskole at Skanderborg (8,9);Skanderborg Realskole
22 - Gribskov Skole at Gribskov (8,9);Gribskov Skole
23 - Kaptajn Johnsens Skole at Frederiksberg (8,8);Kaptajn Johnsens Skole
24 - Marie Kruses Skole at Furesø (8,8);Marie Kruses Skole
25 - Skt. Knud Lavard Skole at Lyngby-Taarbæk (8,8);Skt. Knud Lavard Skole
26 - Videbæk Kristne Friskole at Ringkøbing-Skjern (8,8);Videbæk Kristne Friskole
27 - Ringe Friskole at Faaborg-Midtfyn (8,8);Ringe Friskole
28 - C. la Cours Skole at Randers (8,8);C. la Cours Skole
29 - Privatskolen Als at Sønderborg (8,8);Privatskolen Als
30 - Haahrs Skole at Svendborg (8,8);Haahrs Skole
31 - Frederik Barfods Skole at Frederiksberg (8,8);Frederik Barfods Skole
32 - Niels Steensens Gymnasium at København (8,7);Niels Steensens Gymnasium
33 - Greve Privatskole at Greve (8,7);Greve Privatskole
34 - N. Zahles Gymnasieskole at København (8,7);N. Zahles Gymnasieskole
35 - Forlev Friskole at Slagelse (8,7);Forlev Friskole
36 - Ørestad Friskole at København (8,7);Ørestad Friskole
37 - Bagsværd Gymnasiums Grundskole at Gladsaxe (8,7);Bagsværd Gymnasiums Grundskole
38 - Institut Sankt Joseph at København (8,7);Institut Sankt Joseph
39 - Aller Friskole at Kolding (8,7);Aller Friskole
40 - Forældreskolen i Aarhus at Aarhus (8,7);Forældreskolen i Aarhus
41 - Frederikssund Private Realskole at Frederikssund (8,7);Frederikssund Private Realskole
42 - Frederiksberg Privatskole at Rødovre (8,7);Frederiksberg Privatskole
43 - Kildegård Privatskole at Gentofte (8,6);Kildegård Privatskole
44 - Brenderup og Omegns Realskole at Middelfart (8,6);Brenderup og Omegns Realskole
45 - Henriette Hørlucks Skole at Odense (8,6);Henriette Hørlucks Skole
46 - Kolding Realskole at Kolding (8,6);Kolding Realskole
47 - Davidskolen at Bornholm (8,6);Davidskolen
48 - Albertslund Lille Skole at Albertslund (8,6);Albertslund Lille Skole
49 - Sorø Privatskole at Sorø (8,5);Sorø Privatskole
50 - N. Zahles Seminarieskole at København (8,5);N. Zahles Seminarieskole
51 - Borup Privatskole at Køge (8,5);Borup Privatskole
52 - Hjemly Friskole at Faaborg-Midtfyn (8,5);Hjemly Friskole
53 - Billesborgskolen at Køge (8,5);Billesborgskolen
54 - Friskolen i Hinnerup at Favrskov (8,5);Friskolen i Hinnerup
55 - Giersings Realskole at Odense (8,5);Giersings Realskole
56 - Grejs Friskole at Vejle (8,5);Grejs Friskole
57 - Bøgballe Friskole at Hedensted (8,5);Bøgballe Friskole
58 - Johannesskolen at Frederiksberg (8,5);Johannesskolen
59 - Nærum Privatskole at Rudersdal (8,5);Nærum Privatskole
60 - Sankt Petri Skole at København (8,5);Sankt Petri Skole
