name;location
1 - Endrupskolen at Fredensborg (9,2);Endrupskolen
2 - Tranegårdskolen at Gentofte (9,0);Tranegårdskolen
3 - Dronninggårdskolen at Rudersdal (8,9);Dronninggårdskolen
4 - Hareskov Skole at Furesø (8,9);Hareskov Skole
5 - Den Classenske Legatskole at København (8,8);Den Classenske Legatskole
6 - Gentofte Skole at Gentofte (8,8);Gentofte Skole
7 - Skovgårdsskolen at Gentofte (8,8);Skovgårdsskolen
8 - Risskov Skole at Aarhus (8,7);Risskov Skole
9 - Kongevejens Skole at Lyngby-Taarbæk (8,7);Kongevejens Skole
10 - Skovlyskolen at Rudersdal (8,7);Skovlyskolen
11 - Gammelgaardsskolen at Aarhus (8,6);Gammelgaardsskolen
12 - Sdr.Bjert Centralskole at Kolding (8,6);Sdr.Bjert Centralskole
13 - Sankt Annæ Gymnasiums Grundskole at København (8,5);Sankt Annæ Gymnasiums Grundskole
14 - Klostermarksskolen at Roskilde (8,5);Klostermarksskolen
15 - Stjærskolen at Skanderborg (8,5);Stjærskolen
16 - Virum Skole at Lyngby-Taarbæk (8,5);Virum Skole
17 - Svenstrup Skole at Aalborg (8,5);Svenstrup Skole
18 - Østbirk Skole at Horsens (8,5);Østbirk Skole
19 - Petersmindeskolen at Vejle (8,5);Petersmindeskolen
20 - Ordrup Skole at Gentofte (8,4);Ordrup Skole
21 - Blovstrød Skole at Allerød (8,4);Blovstrød Skole
22 - Toftevangskolen at Rudersdal (8,4);Toftevangskolen
23 - Hindsholms børn & unge at Kerteminde (8,3);Hindsholms børn & unge
24 - Tallerupskolen at Assens (8,3);Tallerupskolen
25 - Virupskolen at Aarhus (8,3);Virupskolen
26 - Dybkærskolen at Silkeborg (8,3);Dybkærskolen
27 - Ny Holte Skole at Rudersdal (8,3);Ny Holte Skole
28 - Fanø Skole at Fanø (8,3);Fanø Skole
29 - Fuglsanggårdsskolen at Lyngby-Taarbæk (8,3);Fuglsanggårdsskolen
30 - Lynge Skole at Allerød (8,3);Lynge Skole
31 - Munkegårdsskolen at Gentofte (8,3);Munkegårdsskolen
32 - Skåde Skole at Aarhus (8,3);Skåde Skole
33 - Hummeltofteskolen at Lyngby-Taarbæk (8,3);Hummeltofteskolen
34 - Hunderupskolen at Odense (8,2);Hunderupskolen
35 - Hvide Sande Skole at Ringkøbing-Skjern (8,2);Hvide Sande Skole
36 - Skovshoved Skole at Gentofte (8,2);Skovshoved Skole
37 - Kragelundskolen at Aarhus (8,2);Kragelundskolen
38 - Skolen på Duevej at Frederiksberg (8,2);Skolen på Duevej
39 - Karensmindeskolen at Rebild (8,2);Karensmindeskolen
40 - Buskelundskolen at Silkeborg (8,2);Buskelundskolen
41 - Gjellerupskolen at Herning (8,2);Gjellerupskolen
42 - Englystskolen at Vejle (8,2);Englystskolen
43 - Mølleskolen at Skanderborg (8,2);Mølleskolen
44 - Kratbjergskolen at Allerød (8,2);Kratbjergskolen
45 - Vester Hassing Skole at Aalborg (8,2);Vester Hassing Skole
46 - Stolpedalsskolen at Aalborg (8,2);Stolpedalsskolen
47 - Vallerødskolen at Hørsholm (8,2);Vallerødskolen
48 - Mårslet Skole at Aarhus (8,1);Mårslet Skole
49 - Sølvgades Skole at København (8,1);Sølvgades Skole
50 - Sophienborgskolen at Hillerød (8,1);Sophienborgskolen
51 - Mejrup Skole at Holstebro (8,1);Mejrup Skole
52 - Broager Skole at Sønderborg (8,1);Broager Skole
53 - Stensballeskolen at Horsens (8,1);Stensballeskolen
54 - Bakkegårdsskolen at Gentofte (8,1);Bakkegårdsskolen
55 - Stengård Skole at Gladsaxe (8,1);Stengård Skole
56 - Sølystskolen at Aarhus (8,1);Sølystskolen
57 - Lyshøjskolen at Kolding (8,1);Lyshøjskolen
58 - Skolen ved Sundet at København (8,1);Skolen ved Sundet
59 - Rosendalskolen at Mariagerfjord (8,1);Rosendalskolen
60 - Langebjergskolen at Fredensborg (8,1);Langebjergskolen
61 - Trekronerskolen at Roskilde (8,1);Trekronerskolen
62 - Sengeløse Skole at Høje-Taastrup (8,0);Sengeløse Skole
63 - Vesterkærets Skole at Aalborg (8,0);Vesterkærets Skole
64 - Harboøre Skole og Børnecenter at Lemvig (8,0);Harboøre Skole og Børnecenter
65 - Nymarken Skole og Børnehus at Kerteminde (8,0);Nymarken Skole og Børnehus
66 - Solvangskolen at Furesø (8,0);Solvangskolen
67 - Sjælsøskolen at Rudersdal (8,0);Sjælsøskolen
68 - Dåstrup Skole at Roskilde (8,0);Dåstrup Skole
69 - Hedensted Skole at Hedensted (8,0);Hedensted Skole
70 - Trørødskolen at Rudersdal (8,0);Trørødskolen
71 - Aalykkeskolen at Kolding (8,0);Aalykkeskolen
72 - Søndersøskolen at Furesø (8,0);Søndersøskolen
73 - Himmelev Skole at Roskilde (8,0);Himmelev Skole
74 - Frederiksborg Byskole at Hillerød (8,0);Frederiksborg Byskole
75 - Præstemarkskolen at Favrskov (8,0);Præstemarkskolen
76 - St. Magleby Skole at Dragør (8,0);St. Magleby Skole
77 - Heibergskolen at København (8,0);Heibergskolen
78 - Engelsborgskolen at Lyngby-Taarbæk (8,0);Engelsborgskolen
79 - Strandskolen at Aarhus (8,0);Strandskolen
80 - Vestbjerg Skole at Aalborg (8,0);Vestbjerg Skole
81 - Øster Farimagsgades Skole at København (7,9);Øster Farimagsgades Skole
82 - Rundhøjskolen at Aarhus (7,9);Rundhøjskolen
83 - Bredsten - Gadbjerg Skole at Vejle (7,9);Bredsten - Gadbjerg Skole
84 - Bakkeskolen at Kolding (7,9);Bakkeskolen
85 - Lundtofte Skole at Lyngby-Taarbæk (7,9);Lundtofte Skole
86 - Usserød Skole at Hørsholm (7,9);Usserød Skole
87 - Vedbæk Skole at Rudersdal (7,9);Vedbæk Skole
88 - Rungsted Skole at Hørsholm (7,9);Rungsted Skole
89 - Tarup Skole at Odense (7,9);Tarup Skole
90 - Klarup Skole at Aalborg (7,9);Klarup Skole
91 - Beder Skole at Aarhus (7,9);Beder Skole
92 - Byplanvejens Skole at Aalborg (7,9);Byplanvejens Skole
93 - Auraskolen at Esbjerg (7,9);Auraskolen
94 - Dyssegårdsskolen at Gentofte (7,8);Dyssegårdsskolen
95 - Dybbøl-Skolen at Sønderborg (7,8);Dybbøl-Skolen
96 - Birkerød Skole at Rudersdal (7,8);Birkerød Skole
